id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1
0519;-1.928;14.124;1.928;0.000;0.998;-60.476;-0.036;-1.678;13.743;0.000;0.999;-73.351
0520;-2.029;16.460;2.029;0.000;0.971;34.539;0.015;-2.130;16.613;0.000;0.971;36.449
0521;-1.906;14.312;1.906;0.000;0.999;-79.705;0.028;-2.103;14.613;0.000;1.000;-95.820
0522;-1.710;11.469;1.710;0.000;0.995;-30.627;-0.081;-1.147;10.612;0.000;0.999;-70.290
0524;-1.884;13.788;1.884;0.000;0.999;-66.503;-0.032;-1.660;13.446;0.000;0.999;-78.984
0525;-1.988;15.169;1.988;0.000;0.998;-59.435;0.013;-2.076;15.303;0.000;0.999;-58.904
0526;-1.885;13.777;1.885;0.000;0.999;-76.911;0.010;-1.951;13.878;0.000;0.999;-76.338
0527;-1.807;12.928;1.807;0.000;0.999;-79.252;-0.031;-1.595;12.605;0.000;1.000;-98.959
0528;-1.952;14.260;1.952;0.000;0.998;-51.768;0.036;-2.201;14.639;0.000;0.999;-60.201
0529;-1.893;14.305;1.893;0.000;0.999;-65.732;-0.029;-1.693;14.001;0.000;0.999;-74.274
0530;-1.806;13.914;1.806;0.000;0.998;-64.110;-0.008;-1.754;13.835;0.000;0.998;-62.695
0531;-1.921;15.377;1.921;0.000;0.998;-54.848;0.010;-1.991;15.484;0.000;0.998;-53.631
0532;-1.956;14.648;1.956;0.000;0.999;-82.957;0.003;-1.979;14.682;0.000;0.999;-81.160
0533;-1.920;15.599;1.920;0.000;0.999;-92.845;0.008;-1.978;15.688;0.000;0.999;-92.738
0534;-1.900;15.303;1.900;0.000;0.999;-66.926;-0.041;-1.614;14.868;0.000;1.000;-94.495
0535;-1.989;13.892;1.989;0.000;0.997;-33.617;0.044;-2.292;14.354;0.000;0.997;-39.956
0536;-1.931;14.021;1.931;0.000;0.999;-82.184;0.013;-2.023;14.162;0.000;0.999;-83.654
0537;-1.962;14.019;1.962;0.000;0.998;-46.314;-0.020;-1.824;13.808;0.000;0.998;-46.696
0538;-1.860;13.472;1.860;0.000;0.998;-49.315;-0.019;-1.726;13.268;0.000;0.998;-49.770
0539;-1.972;15.475;1.972;0.000;0.999;-61.257;0.012;-2.056;15.602;0.000;0.999;-60.648
0540;-1.976;14.382;1.976;0.000;0.996;-33.482;0.020;-2.115;14.593;0.000;0.997;-33.049
0541;-1.970;14.809;1.970;0.000;0.999;-65.381;0.018;-2.092;14.995;0.000;0.999;-66.885
0543;-1.968;14.707;1.968;0.000;0.988;3.774;0.048;-2.303;15.218;0.000;0.989;2.975
0544;-1.906;13.818;1.906;0.000;0.999;-66.192;0.025;-2.078;14.081;0.000;0.999;-71.815
0545;-1.975;12.808;1.975;0.000;0.998;-54.658;-0.026;-1.794;12.531;0.000;0.999;-58.318
0546;-1.985;16.009;1.985;0.000;0.993;-11.294;-0.001;-1.979;16.000;0.000;0.993;-9.295
0547;-2.006;15.376;2.006;0.000;0.996;-29.691;0.041;-2.292;15.812;0.000;0.997;-34.034
0548;-1.921;14.035;1.921;0.000;0.998;-60.358;-0.011;-1.845;13.918;0.000;0.998;-59.495
0549;-1.902;14.058;1.902;0.000;1.000;-97.630;0.013;-1.993;14.196;0.000;1.000;-101.274
0551;-1.887;14.046;1.887;0.000;0.998;-53.454;-0.005;-1.852;13.993;0.000;0.998;-51.636
0552;-1.931;14.296;1.931;0.000;0.999;-62.412;0.019;-2.062;14.496;0.000;0.999;-64.093
0553;-1.981;15.374;1.981;0.000;0.996;-26.088;-0.009;-1.918;15.277;0.000;0.996;-24.341
0554;-1.916;16.120;1.916;0.000;0.961;40.300;0.004;-1.943;16.161;0.000;0.961;42.295
0555;-1.981;14.749;1.981;0.000;0.999;-60.857;0.013;-2.069;14.883;0.000;0.999;-60.385
0556;-2.004;14.469;2.004;0.000;0.999;-70.676;-0.022;-1.851;14.236;0.000;0.999;-75.575
0557;-1.910;14.146;1.910;0.000;0.997;-45.017;0.039;-2.177;14.553;0.000;0.998;-52.551
0558;-1.919;13.312;1.919;0.000;0.996;-35.126;-0.002;-1.908;13.295;0.000;0.996;-33.135
0559;-1.854;14.201;1.854;0.000;0.998;-61.730;-0.011;-1.778;14.084;0.000;0.998;-60.911
0560;-1.855;13.135;1.855;0.000;0.998;-50.737;-0.060;-1.438;12.500;0.000;0.999;-94.785
0561;-1.939;14.551;1.939;0.000;0.998;-60.264;0.024;-2.106;14.805;0.000;0.999;-64.001
0562;-1.924;15.053;1.924;0.000;0.997;-40.962;0.021;-2.066;15.270;0.000;0.997;-41.074
0563;-2.025;15.456;2.025;0.000;0.997;-37.983;0.038;-2.290;15.859;0.000;0.998;-43.179
0564;-1.826;12.373;1.826;0.000;0.998;-61.674;0.018;-1.952;12.565;0.000;0.999;-62.948
0565;-1.698;12.211;1.698;0.000;0.998;-60.957;0.018;-1.826;12.406;0.000;0.998;-62.260
0566;-1.920;13.398;1.920;0.000;0.996;-27.828;-0.018;-1.797;13.210;0.000;0.996;-26.852
0567;-1.975;14.838;1.975;0.000;0.995;-22.848;-0.010;-1.908;14.737;0.000;0.995;-21.097
0568;-1.934;13.899;1.934;0.000;0.995;-22.386;0.033;-2.160;14.242;0.000;0.995;-23.345
0570;-1.997;16.235;1.997;0.000;0.997;-43.269;0.036;-2.247;16.616;0.000;0.998;-48.963
0571;-1.844;13.950;1.844;0.000;0.996;-33.079;-0.080;-1.290;13.106;0.000;0.999;-77.274
0572;-1.974;14.855;1.974;0.000;0.997;-37.541;-0.012;-1.893;14.732;0.000;0.997;-36.137
0573;-1.948;14.320;1.948;0.000;0.999;-61.909;0.012;-2.034;14.452;0.000;0.999;-61.420
0574;-1.876;14.548;1.876;0.000;0.996;-34.210;0.042;-2.170;14.995;0.000;0.997;-40.124
0575;-1.886;13.759;1.886;0.000;0.999;-70.215;-0.005;-1.853;13.709;0.000;0.999;-68.493
0576;-1.964;15.284;1.964;0.000;0.999;-66.385;0.016;-2.073;15.451;0.000;0.999;-67.251
0577;-1.971;14.372;1.971;0.000;0.999;-72.820;0.019;-2.105;14.576;0.000;0.999;-76.338
0578;-1.852;13.404;1.852;0.000;0.999;-69.921;-0.014;-1.753;13.253;0.000;0.999;-70.572
0579;-1.756;12.052;1.756;0.000;0.999;-78.289;-0.030;-1.548;11.736;0.000;0.999;-95.861
0580;-1.957;14.547;1.957;0.000;0.997;-37.766;0.037;-2.211;14.934;0.000;0.997;-42.305
0581;-1.649;11.957;1.649;0.000;0.998;-59.138;-0.048;-1.319;11.455;0.000;0.999;-88.402
0582;-2.000;14.815;2.000;0.000;0.999;-89.316;0.013;-2.092;14.956;0.000;1.000;-91.762
0583;-1.829;11.956;1.829;0.000;0.999;-91.298;0.016;-1.937;12.120;0.000;0.999;-95.874
0584;-1.982;14.488;1.982;0.000;0.999;-79.375;-0.024;-1.813;14.231;0.000;0.999;-89.242
0585;-1.809;13.122;1.809;0.000;0.998;-59.838;-0.002;-1.794;13.098;0.000;0.998;-57.883
0586;-1.795;10.683;1.795;0.000;0.998;-59.694;0.029;-1.994;10.986;0.000;0.999;-66.002
0589;-1.926;13.348;1.926;0.000;0.999;-62.950;-0.028;-1.731;13.051;0.000;0.999;-69.891
0590;-1.940;13.969;1.940;0.000;0.998;-56.387;0.019;-2.074;14.174;0.000;0.998;-57.535
0591;-1.893;14.329;1.893;0.000;0.998;-54.943;-0.022;-1.739;14.095;0.000;0.998;-56.939
0592;-1.997;15.629;1.997;0.000;0.984;14.382;0.015;-2.101;15.787;0.000;0.984;16.201
0593;-1.584;11.758;1.584;0.000;0.999;-101.504;-0.018;-1.458;11.567;0.000;1.000;-113.464
